sentence,label
"Would anybody dare to know the answer?
Would anybody dare to face the truth?
We bide the time awaiting our answers
To our kind
We're all in this apocalypse together
The horror we so feared can't be undone
We all remove allegiance to disaster
Tragic crime
Life we used to know
Ends where silence comes to us forever
Night will soon bestow
Justice on a day that never ends
The piercing eyes of bullets' shine run Faster
Than peace and understanding can conceive
To use and to deceive to teach a lesson
Cross the line
I'm a true believer
A soldier with a gun
I shall swipe the earth clean
Won't take long
Te Deplangemus
Haud Resistentes
A Te Vexati
Manebimus
I must trust my instinct
And act on his behalf
My ship is full with water
But won't go down",Yes
Watch Hopeful Guy Challenge Ex-NBA Scrub Brian Scalabrine To 1-On-1,No
Military Plane Crash In Ukraine Kills At Least 26,No
"You gotta keep those wheels of mine
Rolling and burning down the highway
Last night that girl of mine left me yearning
Best start learning to see things my way
Hit me for the very first time
And we're gonna turn around
I'm leaving her love behind
And getting out of town
I won't back down
I won't turn round
From the last exit to Brooklyn
Last chance to turn around
Last exit to Brooklyn
Gonna keep these old wheels going covering ground
Last night that girl of mine left me trying
And lying she deceived me
[I'll alter] all these tears with the wipers
You'd better believe me
She said she was mine alone
But I know otherwise
I thought she was mine alone
I saw her with a guy
I want her back
It's all in the past
That's why l'm last exit to Brooklyn
Last chance to turn around
Last exit to Brooklyn
Last chance to turn around
She said she was mine alone
Da da da da da da
Da da da da da da da
I saw her with a guy
And that's the reason why
I'll pass the last
The last exit to Brooklyn
The last chance to turn around",Yes
"Philadelphia To End Mask Mandate, Days After Reinstating It",No
"You moan like a fly
And chase the melting ice
No wrongs to right
A smashed tail light
As long as there's bark
As long as there's bite
You'll say
That life is a game for lovers like these
You know you'll land someday
You know you'll land someday
You know youll land
And youll tell us weve been saved
Mute swan
When will your day arrive?
You're barbed wire
Facing the skyline
As long as there's bark
As long as there's bite
You'll say
That life is a game for lovers like these
You know you'll land someday
You know you'll land someday
You know youll land
And youll tell us weve been saved",Yes
Where To Buy Art Deco-Inspired Furniture And Decor Online On A Budget,No
"what should i take from this
a reason arguement
what should i made of this
we dont belong together
if we are meant to be
then why this keep happening
the fights per week and no sleep
theres no make a sense to me
we started out so strong
we promise we will last forever
now im weak and i cant move on
and no sense of things are getting better
we keep going back and forth
and now
this love's on life support and now
cant go thriugh this no more
so its just one look
put in my two week notice
i quit (repeat 5x)
put in my two notice",Yes
Sri Lanka Minister: Easter Bombings A Response To New Zealand Mosque Attacks,No
"Yellowstone Floods Wipe Out Roads, Bridges, Strand Visitors",No
Official: 6 Dead As Large Tornado Roars Through Central Iowa,No
"You know, we've been spending a lot of time together and um, I was wondering do you:
(Feel the same way I do)
I can tell you, I know you need me to show you, but, it's better if I hear it from you.
You know what, let me explain myself.
It's seven am you're still here with me, and last night I held you tightly so.
What does that mean, you see I know what it means to me.
It means that I, I, wouldn't let you go.
Tell me, is your heart still spinning from the night before?
(You are real good yeah).
And you really need to let me know are you here just for, (sexual dealings).
See if you are then, (I), I just can't live a, (lie), cause I'm certain how I feel about you.
But if you tell me, (I), am the one and this is, (right),
Then we can spend the night tonight like always.
But first you, gotta tell me
[Chorus]
That you (Feel the same way I do)
Don't think you know, that I won't let you know unless you (Feel the same way I do)
So if you tell me what I gotta do, before I get caught up in you.
Do you really (Feel the same way I do)
So tell me, tell me, us can be a good thing.
But you gotta (Feel the same way I do) do.
So now it midnight, haven't heard a reply.
But I can see the truth lies in your eyes.
Could it be that you tried, but I didn't see the sunset pass me by, when you were making love to me.
Said it three times, (you said) you love me, (after) you held me.
But then you never even said goodnight.
(Anything I ask of you) you give it, (when you wanted me) I submitted, still no commitment, but if I don't get it then,
(I) I just can't live a (lie), cause I'm certain how I feel about you.
But if you tell me, (I), I am the one and this is, (right), you can spend the night tonight like always.
Long as you first tell me
[Chorus]
Ooh I see your eyes, and I hear you calling.
When you're speaking and I need to hear something.
First thing I wanna hear (I've been meaning to tell you something).
The second thing is (If I can't have you I don't want nothing).
Who that knockin' at my door this time of night?
Ooh oh, hey baby.
What you doing over here so late?
I wanted to tell you somethin'.
I just, I don't know how to tell you right.
Do you have anything you want to say?
Alright, you know what, I love you
[Chorus]
Feel the same way I do. [Repeat x3]",Yes
"Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa
I won't keep watching you
Dance around in your smoke
And flicker out
You're not the light I used to know
I don't believe in safety nets
Strung below that make it alright
To let go
You gotta hold on
Or it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Or it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Or it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
What's the matter?
You don't have enough rain
To make up your storm?
Oooh whatcha look so sad for?
Where's the light I used to know?
Oh it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Oh it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Where's that light I used to know?
Where's that light I used to know?
Where's that light I used to know?
Where's the light I used to know?
Slip, slip, slip through your hands
Whoa, whoa, whoa
Oh it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Oh it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa
Oh it's gonna
Slip, slip, slip through your
Slip, slip, slip through your hands
Whoa, whoa, whoa, whoa, whoa",Yes
"Turn the whole block a theater now
Made some legal money, ran off on ? Sound
Every seven days I might smoke a quarter bag
Bag, bag
Bad bitches in my picture
Take yo hoe and fuck her on the low just like a whisper
Dom Perignon by the pitcher
I used to eat at Crystal's
Nah I'm just lying, I used to meet at Crystal's
Duffle bag zippers
Who the fuck gon' zip that bitch up
Me and that bitch we gon' ride in the trunk
'Cause the hood of the car is not in the front
I did it for them, no
I did it for me so then did it for him
And I like when that pussy go slass,
So I told 'er let's go fo' a swim oh
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
I spoil all my clientÃ¨le
And my lil bitch, she spoiled wild
Just fucked a 20k on good weed and designer shoppin'
Summer time, just made it, I'm thinkin' drop top Spider Rarri
Who there callin' my phone? If it ain't about money I ain't talkin'
Pocket full of Franklins on me, I call that shit gangsta walkin'
Aye, my nigga, come get yo bitch, she outside my traphouse stalkin'
I valet the coupe and leave with Margers and Winnie and ate lunch
And say that we run the streets, I say we just give em what they ant
Yup, give em that crack, make 'em come back (Get ova here!)
Just scraped these six figures out the road smithe on the set
Hmm, like LL, I'm in too deep wid it, lil momma pussy so good, man
That I almost fell asleep in it (damn)
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She out my traphouse stalkin'
Panamera on the Forgies, I'm flossin', 458 with the horsie
I got that packet from Cali, I can break it down and have
Everything gone by the mo'ning
Have the amigo pull up with 1000 meetings
I can run through yo city like Jordan
Nigga, my cousin, my women imported
Yo bitch on my bumper, you can get extorted
I call my plug and I tell him bring me more
Don't worry bout me, worry bout where yo hoe at
Nigga, yo bitch outside my traphouse skeetin'
Bitch outside, she stalkin'
285, Just ride, smokin' precious
You trippin', I left that bitch walkin'
I got these records so big I can't follow you
I got yo bitch, yo shawty got Ebola
We sellin' that coke, we no call it a coma
Makin' em G's, ya gotta stay 100
That priceless gas, know we smokin' and clutchin'
I don't do dinners, no movie, no nothin' no lunches, we fuckin'
And that's the end of that discussion
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'
Aye, my nigga, come get yo bitch
She outside my traphouse stalkin'",Yes
"Listen to the hot news of today
The show will never go away
It's hotter than hell and never ever dull
Nothing's weird, we have it all
Freak show, 2000
The final days of a feeble race
Death you will embrace
No cheap tricks here, it's all for real
The pain you see is what you feel
The toughest, meanest, what a ball
Still longest [Incomprehensible]
Freak show, 2000
The final days of a feeble race
Death you will embrace
Freak show, 2000
The final days of a feeble race
Vanish without a trace
Murder, war, it's all too cool
If you think we're done then you're a fool
Do not leave yet, here's the encore
A million times and there's always more
Freak show, 2000
The final days of a feeble race
Death you will embrace
Freak show, 2000
The final days of a feeble race
Vanish without a trace
Vanish, vanish",Yes
"(Dale Parker)
As far as I'm concerned I don't believe the words
They say about you as far as I'm concerned
I think it's time they learn that nothing I have heard
Could make me doubt you as far as I'm concerned.
As far as I'm concerned I'd rather be unhappy dear with you
Than to look for happiness with someone new
For always in my heart there'll be a flame that burns
For you alone dear as far as I'm concerned.
As far as I'm concerned I'd rather be unhappy dear with you
Than to look for happiness with someone new
For always in my heart there'll be a flame that burns
For you alone dear as far as I'm concerned...",Yes
"I heard every word you said
And trying hard to understand
Exactly what it is, you need, from me
Baby I apologize
I never meant to make you cry
But there ain't no doubt, we can work it out yeah
Cause I'm gonna be around
[Chorus]
Don't worry baby
I ain't no maybe
Rain or Shine
This Love of mine is for you
Let my arms remind you
I'll always be beside you
Holdin' on until this ride is through
So away we go, down that forever road
Baby as our lives unfold
There's no telling where we'll go
But as far as I can see, it'll be you and me
Just the way it's supposed to be
[Chorus]
It ain't gonna be easy
We'll both make big mistakes
But if you love me, trust me
We've got what it takes
Now
[Chorus]
Down that forever road
Away we go",Yes
"A burning hand
A poisoned sleep
In front of me
A late regret
A token rest
You are to late
Too late to fear
Too late my dear
Servants, extras, stagehands listen
We will learn the game
Fair words, vows and flattery
We won't feel ashamed
What did he say
Who told him so
You need his vote
To change their minds
So run to him To throw the dice
With faithful eyes
This my advice
Servants, extras, stagehands listen
We will learn the game
Fair words, vows and flattery
We won't feel ashamed
I'll give the Caesar
Like a man
I'll kill the beast
In foreign lands
I'll pull the strings
Of all intrigues
A hunter with
No pain no fear
A
Servants, extras, stagehands listen
We will learn the game
Fair words, vows and flattery
We won't feel ashamed...",Yes
Why Kamala Harris Is A Historic Vice Presidential Pick,No
Tom Brady Throws Touchdown Pass To Drew Brees' Son In Viral Postgame Moment,No
"(Like a verbal seduction, when
Seduction when I tell 'em)
(Girls on the floor)
I dunno man, just feels like, well a lot different
(Girls on the floor)
(Like a verbal seduction)
Kinda feels like, I'm on a whole different page right now
(Girls on the floor)
Feels strange but um, I guess it's kinda like, it's kinda like
I feel like I'm morphin', into something that's so incredible, that I'm dwarfin'
All competitors, better get your girlfriend in check
It's psychological warfare, and endorphins I effect
Your self esteem shatters his dialect
Comes blasting out your deck, she loves me
So much passion you'd expect this sort reaction from her yet
Your strong oh, you're fucking corny, you try to turn your charm on
Cause you just think you're Bishop the don Juan
But if you think you're fucking with me, homie you're on one
I'm cockin' my head back like 'Ed Lover, come on son
She's on my Johnson, she brings my name up constant
Your boys are like ""she's fucking with dude, she wants son""
Homeboy, you better get a clue
She's on my dick cause I spit better than you
What you expect her to do? How you expect her to act in the sack
When she's closing her eyes, fantasizing of digging her nails in my back to this track
Seduction, seduce
Ain't nobody who's as good at what I do
(Like a verbal seduction, when)
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)
Seduction, seduce
Ain't nobody who's as good at what I do
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)
She's sitting there getting liquored up at the bar
She says it's quicker to count the things that ain't wrong with you
Than to count the things that are
There's a seven disc, CD changer in her car
And I'm in every single slot, and you're not, aw
I'm the logo on that Dallas Cowboy helmet, a star
And I'm not about to sick back and just keep rhyming one syllable, nah
Switch it up and watch them haters not give it up, cause they're just not good enough
But I'm not giving up til I get my respect, and I won't stop til I get enough
Cause I'm not living up to my own expectations, aw
That hater alarm is sounding off, and Obama took the bomb from my name, aw
So quit crying that I took your dame, homie she's my dame, aw
You sadly mistaken if you thinkin' that I'm not on my game boy
And things just ain't been the same since the day that I came for it
You wear your heart on your sleeve, I sport that white tank boy
But you got a hard on for me, what you hollerin' my name for?
It's your bitch on my dick, ain't my dang fault, man I can't call it
Seduction, seduce
Ain't nobody who's as good at what I do
(Like a verbal seduction, when)
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)
Seduction, seduce
Ain't nobody who's as good at what I do
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)
It's like we're playing lyrical tug of war with your ear
You hear it, girl come here, put your ear up to the speaker
Dear, while I freak this world premier
Seducing her, loosing up with a little freestyle
Wait, am I losing ya? Am I making you look bad?
Well I got news for ya homie, you're losing her
Let her wait don am I losing ya don't like when I spit it fast
Am I tryna show how, let me slow it down some
It's still gonna be a blowout
You're gonna wanna throw out your whole album
Rummage through the shit and try to salvage something
To see if you can save any of it punk, but none of it's fucking with me
Prick you really feeling that bullshit?
You think you killing them syllables? quit playing
These beats ain't nothing to fool with
They call me fire Marshall, I shut the shit down
Your entire arsenal is not enough to fuck with one round
I am also the opposite of what you are like
You're a microcosm of what the fuck I am on the mic
I am awesome, and you are just awe-struck
She's love-stricken, she's got her jaw stuck
From sucking my dick, aw fuck
Seduction, seduce
Ain't nobody who's as good at what I do
(Like a verbal seduction, when)
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)
Seduction, seduce
Ain't nobody who's as good at what I do
Cause one minute she loves you, the next she don't
She's been stolen from you
(Like a verbal seduction, when)",Yes
U.N. Experts: Saudi Crown Prince Likely Involved In Hacking Of Jeff Bezos' Phone,No
"Wonder why youre holding out
Youre starting to make me doubt
Are you loving someone else?
Just not like it used to be
Feel like youre so far from me
Then I start to doubt myself
Ive been waiting so long, feel like youre doing me wrong
Make it better for me tonight
Boy you take me by the hand
Like you want to be my man
Make it better for me tonight
Do it for me, when I tell you do it for me
Do it for me, when I tell you do it for me
When I tell you-
I can feel the sun shining
When I wake in the morning
Thought you would be by my side
Doing me up with a kiss
Said you are the one I miss
Giving me a real good time
Ive been waiting so long, feel like youre doing me wrong
Make it better for me tonight
Boy you take me by the hand
Like you want to be my man
Make it better for me tonight
Do it for me, when I tell you do it for me
Do it for me, when I tell you do it for me
When I tell you-
Ohhhh
When I tell you-
Ohhhh",Yes
"I've been all over this country
Been half way 'round the world
I've been traveling so dog gone much
That I haven't got a steady girl
Somebody to love (Somebody to love)
Somebody to love (Somebody to love)
Somebody to call me turtledove
Somebody to love
Yes I guess I've been lucky
I've had me fortune and fame
But I would give up my roman ways
Just to change some girlie's name
Somebody to love (Somebody to love)
Somebody to love (Somebody to love)
Somebody to call me turtledove
Somebody to love
I've been hurtin' (He's been hurtin')
Such a long, long time (long, long time)
I've been searchin' (He's been searchin')
Where's that girl of mine
Won't you hear me now,
If there's somebody listenin'
Won't you hear my plea?
Won't you send me a good, good girl
To spend her life with me
Somebody to love (Somebody to love)
Somebody to love (Somebody to love)
Somebody to call me turtledove
Somebody to love
I've been hurtin' (He's been hurtin')
Such a long, long time (long, long time)
I've been searchin' (He's been searchin')
Where's that girl of mine
Won't you hear me now,
If there's somebody listenin'
Won't you hear my plea?
Won't you send me a good, good girl
To spend her life with me
Somebody to love (Somebody to love)
Somebody to love (Somebody to love)
Somebody to call me turtledove
Somebody to love
Somebody to love (Somebody to love)
Somebody to love (Somebody to love)
Somebody to call me turtledove
Somebody to love",Yes
Nobel Physics Prize Goes To 3 For Climate Discoveries,No
"Shaking and mumbling, you calmly drop your weapon and take a look around
The cracks beneath the floorboards revealed wandering eyes
But you didn't care to check, you didn't care to check
Why would I save you on the night the town was red?
You were far too comfortable just leaving him for dead
And I patiently waited to send you away for the debt you refused to pay
You can't remember your motive but I know it well
The spotlight finds you and the stories you tell
Your formality made it too simple, you signed before you read
And your suit never fooled me 'cause you watched him as he bled
And I was there all along, I was there all along
Why would I save you on the night the town was red?
You were far too comfortable just leaving him for dead
And I patiently waited to send you away for the debt you refused to pay
Don't beg for forgiveness, 'cause your cries won't be heard
You underestimated my forewarning word
Your secrets' on the table as you hide underneath
Oh you'll hide underneath
Why would I save you on the night the town was red?
You were far too comfortable just leaving him for dead
Why would I save you on the night the town was red?",Yes
"Three fishers went sailing out into the west,
Oh, into the west as the sun went down;
Each thought of the woman,
That loved him the best,
And the children stood watching them out on the town.
For men must work and the women must weep,
For there's little to earn and many to keep;
And the harbour bar be moaning?
The harbour bar be moaning.
Three wives sat up in the lighthouse tower,
And trimmed the lamps as the sun went down;
And they looked at the squall,
And they looked at the shower,
The nightbird came rolling in ragged and drowned.
Men must work and the women must weep,
Tho storms be sudden and the waters be deep;
And the harbour bar be moaning?
The harbour bar be moaning.
*Instrumental*
Men must work and the women must weep,
Tho storms be sudden and the waters be deep;
And the harbour bar be moaning?
The harbour bar be moaning.
Three corpses lay out on the shining sand,
In morning green as the tide went down;
And the women were weeping and wringing their hands,
For those who would never come back to the town.
Men must work and the women must weep,
For the sooner it's over the sooner to sleep;
And goodbye to the bar and its moaning,
Goodbye to the bar and its moaning.",Yes
This Priestess Is Teaching Others The Truth About Vodou And Hoodoo,No
Mehmet Oz Mocked By Senate Foe John Fetterman With Sassy Plane Banner,No
"Screaming all night
Rip me right from paradise
Big words, small lies
Out to get me every time
Lost in your heartbeat, body moving on mine
Caught in the madness, doubt the feelings inside
'Cause I know that you're trouble, and I know that it ain't right
But I want you and I can't get enough
Of your wicked love, wicked love, wicked love, wicked love
Hurts when I hold your
Wicked love, wicked love, wicked love, wicked love
But it's worse when it's over
You're no good for me
This ain't how it oughta be
But you're like honey
I get stuck when you get sweet
Lost in your heartbeat, body moving on mine
Caught in the madness, doubt the feelings inside
'Cause I know that you're trouble, and I know that it ain't right
But I want you and I can't get enough
Of your wicked love, wicked love, wicked love, wicked love
Hurts when I hold your
Wicked love, wicked love, wicked love, wicked love
But it's worse when it's over
It's kind of criminal
When you mess with my head
But it turns me, turns me on
Every time I see red
Of your wicked love, wicked love, wicked love, wicked love
Hurts when I hold your
Wicked love, wicked love, wicked love, wicked love
But it's worse when it's over
Wicked love, wicked love, wicked love, wicked love
Hurts when I hold your
Wicked love, wicked love, wicked love, wicked love
But it's worse when it's over
(Wicked love, wicked love, wicked love, wicked love
Hurts when I hold your
Wicked love, wicked love, wicked love, wicked love
But it's worse when it's over)",Yes
"Plane Lands In Moscow Engulfed In Flames, Killing At Least 41 People",No
"The moon was yellow and the night was young
A smile brought us together, a
And I was wond'ring whether
We'd meet again some day
The moon was yellow and a song was sung
That vocal inspiration gave me the inclination
To give my heart away!
Her we are is our romance to continue?
Will it be my luck to win you?
May I look that far?
Ah! My love is mellow and my hopes are strung
Around that cupid fellow
Behold! The moon is yellow
And the night is young",Yes
"The realm's bleeding
It suffers
Old and weak
No further argued
There is war at hand
(The system's weak)
Engines running
Then after all I sense the end is starting
These lunatics deny the truth
I know I will not fail
There'll be
War it's now or never
We shall stand together
One by one
This world is sacred
(I'm coming home)
War it's now or never
We shall stand together
One by one
This world is sacred
I'm coming home
Coming HOOOHOOOME!
You're chasing twilight and you know
You will be on your own
On your OOOOHOOOOWN!
The misery's shown
I'll be alone in this hour
I face the unknown
Witness the end
I'm bleeding
I'm fading
Here in my final hour
When long-lost memories return
And a voice keeps calling
""All dead and gone""
It's out of hand
Life is in motion
(I'm wishing, I'm fading)
Time to wake up
Face the truth
I'm sinking I'm drowning
There's no doubting
No regret
(Time to reveal now)
This is no illusion
It is real
Carry on the flame
It's not over now
Watch me I will rise
(Time to reveal now)
I know I will not fail anymore
Bind the one forever
All that really matters
Blessed realm
This world is sacred
(I'm coming home)
War it's now or never
We shall stand together
One by one
This world is sacred
I'm coming home
Yesterday's gone
There's no today nor tomorrow
I'd risk all the land
The ritual failed
There at the gates
I'm left alone in this hour
Driven insane
I am left alone
And now I drown in deepest shadows
While the golden horn is sealed
I'm wishing
I'm fading
And I am part of the machine
No one lives forever
All that really matters
Find the one
This world is sacred
(I'm coming home)
War it's now or never
We shall stand together
One by one
This world is sacred
I'm coming home
(HOOOOOOOOOOME!)",Yes
"The world has turned and left me here
Alone with nothing but my fears
I feel the stiff of age it cracks
Mirror reflects just what I lack
I am standing here dying to be
To mean anything to anyone but me
I am naked now bereft of life's meaning
I am a shadow of what was
Plummet to sunken depths
There will be nothing left
Secrets of my being are being from me kept
There will be no resolve
For this wreck of nerves
Cheers to the axe that falls to the end
that I deserve
I am standing here dying to be
To mean anything to anyone but me
I am naked now bereft of life's meaning
I am a shadow of what was
A shadow of what was
You are dead to me
I am dead to me
My pulse has stopped you see
The butcher's waiting meat
And for eternity
As Satan laughs
we'll burn together
and scream abysmally
The work has turned and left me here
Alone with nothing but my fears
I feel the stiff of age it cracks
Reflects just what I lack
I am alone
I live alone
I'll die alone
Beneath a nameless stone
I am standing here dying to be
To mean anything to anything but me
I am naked now bereft of life's meaning
I am a shadow of was
I'll try this noose on just because
Signed your friend, abysmally",Yes
"Well you've gotta walk that lonesome valley yes you've gotta go there by yourself
Cause no one here is gonna go there with you yes you've gotta go there by yourself
Well if you can't speak like the angels if you can't preach like old Saint Paul
You can tell the love of Jesus yes you can say that he died for all
Yes you've gotta walk...
[ dobro ]
Many loved ones away up yonder just awaitin' on the golden shore
Let's prepare to go and meet them where sad parties will come no more
Well you've gotta walk...
Yes you've gotta walk...",Yes
Carol Kane Never Meant To Become Hollywood’s Go-To Eccentric,No
Chris Cuomo Shares A Key To Battling Coronavirus After 'Scary' Chest X-Ray,No
July 4 Didn't Have To Be Like This,No
10 Bags On Sale For Under $100 During The Nordstrom Winter Sale,No
Fox Business' Lou Dobbs Self-Quarantines After Staffer Tests Positive For COVID-19,No
"China Reports Over 1,280 Coronavirus Cases, Death Toll At 41",No
Kanye West Stirs Controversy By Sharing Stage With Marilyn Manson,No
Michael J. Fox Warns About Going 'Back To The Future' Of 2020 In Lil Nas X Video,No
"Well I'm standin' at the crossroads,
With my head hung down and cryin'
Well I'm standin' at the crossroads,
With my head hung down and cryin'
Well I was thinkin' about my baby,
And I know she can't be found
I work hard for my baby,
And she treats me like a slave
I work hard for my baby,
And she treats me like a slave
Well she was be tired of livin',
I'll put her six feet in the grave
Well I'm standin' at the crossroads,
And my baby's not around
Well I'm standin' at the crossroads,
And my baby's not around
I began to wonder,
If this is Elmore's second down
I' standin' here waitin' baby,
With my heart right in my hand
I' standin' here waitin' baby,
With my heart right in my hand
I'm thinkin' about my baby,
And she's out with another man",Yes
"Draw the world in shades of grey
Cut me out and walk away
Pick me up then put me down
'Cause it feels so cold in the rain
Could I hold you for one day
Could I hold you for one day
Could I hold you for one day
I need a chance to say....
Get a hope for another day
Give me music anyway
Lift the mood and float away
It feels so cold in the rain
Could I hold you for one day
Could I hold you for one day
Could I hold you for one day
I need a chance to say
What about us? Sing
What about us? Sing
What about love? Sing
What about trust? Sing
What about love?
What about love?
What about love? Oh!!
Could I hold you for one day
Could I hold you for one day
Could I hold you for one day
Could I hold you for one day
Whoa [until fade]",Yes
Trump Returns To Fox News To Make 3 More Bananas Claims And Accusations,No
India Eases Restrictions In Kashmir Ahead Of Eid Al-Adha,No
How To Support A Friend Who Has A Baby During The Coronavirus Pandemic,No
"Trump Is 'Helping To Crowdsource Domestic Terrorism,' Warns Former DHS Official",No
"She knows I can't read
She knows I can't write
But these are the letters from melody
Show me how to read
Show me how to write
These are the things you can do for me
These are the things you can do for me
These are the things you can do for me
Why did you kill that poor old man, melody
Why did you kill that poor old man, melody
She said
He was never good to me
She said
He was never kind to me
Tell me how she was dressed that day, my melody
Don't show me how she touched her face, my melody
She said, I would never do it again. Give me another chance.
I said Why didn't you come to me?
I said Why didn't you talk to me?",Yes
"I've been held by the Savior
I've felt fire from above
I've been down to the river
I ain't the same, a prodigal returned
All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood
I'm no stranger to prison
I've worn shackles and chains
But I've been freed and forgiven
And I'm not going back, I'll never be the same
That's why I sing
All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood
There's a kind of thing that just breaks a man
Break him down to his knees
God, I've been broken more than a time or two
Yes, Lord then He picked me up and showed me
What it means to be a man come on and sing
All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood
Oh
I've, I've been
washed by the
blood",Yes
"Hush little baby don't you cry
I said hush little baby don't you cry
I said hush little baby don't you cry, no
I said hush little baby don't you cry
I'm saying hush little baby don't you cry
Daddy ain't sure if he can raise you right
I ain't even good with saving my money
Why should I think I can save your life?
And the whole family's gonna think I'm a devil, I don't wanna see my angels eyes
I say this with one hand on my heart, guilt ain't gonna make me change my mind
My first thoughts, were the worst thoughts, running 'round my head in circles
The worlds gonna hate me for saying this, but patience is a virtue
So we don't have to rush for our first youth, we can take time do rehearsals
And I ain't acting this is personal, and I ain't doing this just to hurt you
I should say goodbye, before I say hello
So darling hold me, closely, tonight
Because if you open your eyes, I'll never let you go
Moving slowly, we'll both sleep tonight
And we'll just be dreaming 'til you wake me up
When I'm telling her about raving
She's telling me about cravings
I want her to just get the message
I don't wanna have to be so blatant
So I told her my life ain't balanced
Yeah, said the time ain't right
She said god's clock's the only one that matters
And it's about time I tried, yeah and if I listen to my family
Then they'll be a new addition to my family
I can't help feeling peer pressured, everybody's looking down but they don't understand me
And everyone's so suggestive, I'm getting mixed messages, but nobody's rang me
Huh, I'm saying this ain't a game, but I say the wrong thing and everyone wants to hang me
I should say goodbye, before I say hello
So darling hold me, closely, tonight
Because if you open your eyes, I'll never let you go
Moving slowly, we'll both sleep tonight
And we'll just be dreaming 'til you wake me up
Hush little baby don't you cry
I said hush little baby don't you cry
I said hush little baby don't you cry, no
I said hush little baby don't you cry
I know I should say goodbye, before I say hello
Darling hold me, closely, tonight
Because if you open your eyes, I'll never let you go
Moving slowly, we'll both sleep tonight
And we'll just be dreaming 'til you wake me up",Yes
"Chorus
What were we thinking that we'd
Change the world in little time
What were we thinking that we'd
Turn the darkness into light
Verse 1
We were too young
To know what this means
And we, we were too dumb
To let ourselves believe
And we stood by sides
We thought that we'd recognise
And we, could draw lines
But it cuts reality too fine
Chorus
What were we thinking that we'd
Change the world in little time
What were we thinking that we'd
Turn the darkness into light
What were we thinking that we'd
Go back in time
It was intentional
We had our hearts full, of life
Verse 2
It was too soon
To break down walls we'd built
And it, it wasn't true
Or fair to throw all of the guilt
And now, now it's too late
To back-track on what's done
We won't hesitate
We'll burn brighter than the sun
Chorus
What were we thinking that we'd
Change the world in little time
What were we thinking that we'd
Turn the darkness into light
What were we thinking that we'd
Go back in time
It was intentional
We had our hearts full, of life
Instrumental
Chorus
What were we thinking that we'd
Change the world in little time
What were we thinking that we'd
Turn the darkness into light
What were we thinking that we'd
Change the world in little time
What were we thinking that we'd
Turn the darkness into light
What were we thinking that we'd
Go back in time
It was intentional
We had our hearts full, of life",Yes
