Text,Type
"OBJECTIVE: This study was performed to evaluated the efficacy and safety of continuous infusional paclitaxel and 5-Fu as first-line chemotherapy in patients with advanced esophageal squamous cell cancer (ESCC).METHODS: A total of 22 patients with advanced esophageal squamous cell cancer with no indications for surgery and radiation therapy, or recurrent patients were enrolled from October 2008 to November 2010. All were treated with PTX 20 mg/m2 was administered through a 16 hours continuous intravenous infusion on days 1 to 3, 8 and 9. DDP 3.75 mg/m2 was given on days 1 to 4 and 8 to 11, continuous infusional 5-FU over 24-hours on days 1 to 5 and 8 to 12 at a dose of 375 mg/m2, and folacin 60 mg orally synchronized with 5-Fu. The treatment was repeated every 21 days for at least two cycles.RESULTS: 22 cases of all enrolled patients could be evaluated for the effect of treatment: 2 cases were CR, 9 cases PR, 5 cases SD and 2 cases PD, giving an overall response rate of 68.2% (15/22). The median time to progression was 7.0 months. The adverse reactions related to chemotherapy were tolerable; the most common toxic effects were marrow depression, alopecia, and fatigue.CONCLUSION: Low-dose continuous infusional PTX over 16-hours and 5-fu over 24-hours is a promising regimen with good tolerability in treating patients with advanced esophageal squamous cell cancer.",Biology
"This is absolutely the best 80s cartoon ever, maybe the best cartoon of all time. It had everything action, adventure, thrill, and much more...<br /><br />I can't imagine how hard it was for Ruby-Spears company to make this great cartoon, there has been spent a lot of money for this masterpiece of work and it was worth it, for example just the beaming down scenes were hard because I wouldn't call the 1980s for a great technology year with computers like now in the world we live in so the beaming down scenes were excellent!<br /><br />The cartoons will never be the same as they were before, that is why I hope that they all will be released on DVD specially The Centurions as it's my favorite. I have the whole complete set of 65 episodes on DVD-r but it's not the same because if they were released on DVD the people in the world would be able to buy it and see the DVD's in almost every store which means a lot to the fans. My good friend Ted made this petition to either get the show back on TV or better on DVD, that is if we get many requests to get them back on DVD.<br /><br />So please help us by signing the petition at http://www.petitiononline.com/6600F/petition.html",Non-Biology
"I wholeheartedly disagree with the other viewers of this wretched film. The only reason why I didn't rate it 1 for awful was due to the great talent of Carmen Miranda. The beginning and end are the best parents due to her gifted singing and dancing.<br /><br />The problem is with the rest of the picture. Alice Faye comes off quite hollow. Don Ameche has a great singing voice but with the wretched writing material, he comes off so terribly corny.<br /><br />The plot is a real stiff here with Ameche assuming two parts as a song and dance man and a baron not happily married to Faye.<br /><br />It seems that by playing the song and dance man, Ameche's marriage gets a second change to reignite. Some silly nonsense about the baron having to clear up business and being away allows him to play both parts.<br /><br />S.Z. Sakal is given little to do here and so his comedic gifts are not given the opportunity to shine. Ditto for J. Carrol Naish who actually appears uncomfortable in his role.<br /><br />This is a chica chica boom bomb of a film.",Non-Biology
"BACKGROUND: Recently, hydrochlorothiazide has been shown to relax vascular smooth muscle in vitro in clinically relevant concentrations by the opening of calcium-activated potassium channels, leading to hyperpolarization and consequent closing of voltage-operated calcium channels. Long-term administration of hydrochlorothiazide reduces peripheral vascular resistance in vivo in man. These results indicate that hydrochlorothiazide has hemodynamic activity, and we therefore examined the direct vascular action of this drug in vivo.SUBJECTS AND METHODS: Forearm vasodilator responses to the infusion of a placebo and five increasing doses of hydrochlorothiazide into the brachial artery were recorded by venous occlusion strain-gauge plethysmography (perfused forearm technique) in eight normotensive male volunteers. Venous samples were taken from an ipsilateral antecubital vein at the end of each infusion period to measure the hydrochlorothiazide concentration.RESULTS AND DISCUSSION: Plasma concentrations of hydrochlorothiazide averaged 3.5 +/- 0.3 mu g/ml at the highest infusion rate. This concentration leads to a 60 +/- 10% relaxation in vitro and is more than 10 times the therapeutic plasma concentration. Despite these supratherapeutic levels, we were unable to demonstrate a change in forearm blood flow and vascular resistance. Also, no significant changes were observed in blood pressure and heart rate.CONCLUSION: In contrast to in vitro results, hydrochlorothiazide does not exert any direct vasoactivity in the forearm vascular bed of healthy normotensive male volunteers at (supra)therapeutic plasma concentrations.",Biology
"Labeling this film a ""lesbian love story"" is about as accurate as calling Pride & Prejudice a ""straight love story."" There's just so much more to it than that.<br /><br />Yes, the main character is a lesbian, but her story is classic bildungsroman, a journey from childhood to adulthood, from sexual innocence into maturity, from personal blindness to self- discovery. There is a stylistic element of camp to the film's direction, but it is not a hindrance; rather it serves to underscore the staged and dramatic parts of the main character's life.<br /><br />Those who know Anna Chancellor from the BBC version of Pride and Prejudice will certainly be amazed with her here. Rachael Stirling is stellar as the main character Nan, and Keeley Hawes is all wide-eyed goodness as her lover Kitty Butler. Chancellor might have the stand out role, that is aside from Sally Hawkins who plays Zena Butler. This film is not for the faint of heart, but it's not a piece of pro-gay advertising either. It's a real story, with real comedy and drama, an engaging story with compelling characters, and well worth watching.",Non-Biology
"BACKGROUND: A concussion is considered a mild traumatic brain injury that may cause physical, cognitive, affective, and sleep dysfunction. Physical therapists have been identified as health care providers involved in the multidisciplinary care of a patient with concussion.OBJECTIVE: The purpose of this study was to describe the current attitudes and beliefs, knowledge, and practice of physical therapists in the treatment of patients with concussion.METHODS: A 55-question electronic survey divided into 6 sections-(1) demographics, (2) current practice in concussion, (3) youth concussion legislation, (4) attitudes and beliefs toward concussion management, (5) concussion knowledge, and (6) clinical decision making-was developed and distributed online through selected American Physical Therapy Association sections.RESULTS: A total of 1,272 physical therapists completed the survey. Seventy percent of the respondents (n=894) reported having concussion training. Although supportive of the role of the physical therapist in the treatment of a person with concussion, the respondents demonstrated less confidence when making return-to-play decisions. Respondents correctly answered, on average, 13 (out of 15) concussion knowledge questions, with gaps exhibited in understanding the clinical utilization of concussion severity scales, the conservative treatment of youth who sustain a concussion, and anticipated normal computed tomography and magnetic resonance imaging after a concussion. When provided with clinical scenarios, respondents were able to recognize when a referral to a physician was indicated; however, they demonstrated variability in identifying a need for vestibular or manual physical therapy.LIMITATIONS: Convenience sampling was utilized, limiting generalizability of the results of the study to the physical therapy profession as a whole.CONCLUSION: Physical therapists demonstrated a solid foundation of concussion knowledge, but gaps still existed. Future professional development opportunities should be developed to target identified gaps in knowledge and current practice patterns.",Biology
"This movie is tremendous for uplifting the Spirits.<br /><br />Every time I watch it, I see & hear funny little things that I missed before.<br /><br />The soundtrack is unbelievable. Mick Jones (Foreigner) and Chris Difford (Squeeze) penned the songs, making Strange Fruit the best thing that ever hit today's music scene.<br /><br />Unfortunately, Strange Fruit are a strictly fictitional washed up '60's to 70's band that were never good to begin with, due to drug use and inner fighting. One wonders what might have been, while listening to their fanatstic soundtrack.<br /><br />The Fruit draw inspiration from The Rolling Stones, Deep Purple, David Bowie, and The Who.<br /><br />Each member of Fruit are quite memorable. Stephen Rea stars as down-and-dead-broke Tony Costello, who is asked by a festival promoter to reunite his band for a reunion tour, with hopes of reaping monetary benefits. Costello haply approaches ex-roadie Karen Knowles, played by Juliet Aubrey, to help him rekindle the flame of a dream long past.<br /><br />Juliet gathers up the bitter Jimmy Nail (Les Wickes), blundering Timothy Spall (David 'Beano' Baggot), and extravagantly glamouresque Ray Simms (Bill Nighy). Tumbling in is another ex-roadie, the hippy-toker-jokester Hughie (Billy Connolly), who never let the flame burn out.<br /><br />As Juliet searches for the last member of their motley band, the elusive guitarist-songwriter Brian Lovell (played by the brooding Bruce Robinson), the reunited members squabble, just like old times, fighting over each others' rusty talent.<br /><br />The band is then given the chance to do a small Dutch tour, to prepare for the festival. With young Hendrix-like Luke Shand (Hans Matheson) taking the place of Lovell, the crew hits the road. The sparks fly as their memories flame forward, threatening to burn their unfinished goals...<br /><br />Be prepared to laugh, sing, cheer, and cry, as these memorable characters etch themselves back into your hearts...",Non-Biology
"While Hayao Miyazaki's movies have always been hit-or-miss with me with regards to story, they are unequivocally gorgeous to the eye, with characters of simple animation against a backdrop of artistic images. Ponyo sticks to that formula, with a lead character so adorable I want a plush doll of her and scenery so pretty it wouldn't look out of place framed up as a picture on a wall.<br /><br />The story, on the other hand, I didn't enjoy quite as much as his last two wide-releases, Spirited Away and Howl's Moving Castle. It was just a tad too juvenile, coming across as more for kids and leaving adults to just enjoy the animation.<br /><br />I was also disappointed that the score done by Joe Hisaishi, who also the scores for the above-mentioned two movies, wasn't nearly as memorable this time around. While I can't quite recall Howl's score now, I still remember it being one of the most beautiful I had ever heard. Ditto Spirited's - though I only remember it being very complementary to the movie. Maybe it's because Ponyo is more juvenile fare that the score isn't quite as haunting. In any case, this movie is still a must-watch for fans of anime or Miyazaki.",Non-Biology
"Even if you're a fan of Jean Rollin's idiosyncratic body of work, you will be caught off guard by this exceptional foray into science fiction territory. For once, there's not a single diaphanously gowned vampire girl in sight ! True to tradition, the budget proved way too tight to realize the director's vision entirely. Yet this is largely compensated by his obvious love of genre cinema, dedication to his craft and sheer ingenuity. Jean-Claude Couty's atmospheric cinematography makes the most of the foreboding locations and Philippe Bréjean (a/k/a ""Gary Sandeur"") contributes a startling soundtrack that fortunately doesn't resemble any of the sappy stuff he composed for hardcore.<br /><br />Shot in and around a Paris office block before and after working hours, the film was largely cast with porn regulars Rollin was already quite familiar with from his ""Michel Gentil"" cash-gathering XXX efforts, most notably French f*ck film royalty Brigitte Lahaie in the demanding lead. Playing Elisabeth (rather well, I might add), she's picked up wandering a nearby highway one night by Robert (Vincent Gardère), driving home at the end of a long work day. Barely able to piece together the string of events that got her there, Elisabeth seems to lose her memories mere moments after events occur, even forgetting Robert's name and heroic savior role before their night flight comes to an end at his apartment. Prior to making love, she rightfully describes herself as a virgin (further credit to Brigitte's thespian skills that she can handle the line so convincingly, being after all one of the more active adult actresses of the '70s) because she cannot recall a single touch preceding his. Because of this nifty bit of context, the relatively long sex scene that follows totally eschews the gratuity of other ""commercial"" interludes Rollin has had to include in other works to assure funding.<br /><br />When Robert leaves for work, he's inevitably erased from Elisabeth's feeble mind. A mysterious doctor (comedian Bernard Papineau effectively cast against type) and his menacing assistant Solange (striking porn starlet Rachel Mhas) move in on her during her protector's absence and take her back to the place she turns out to have escaped from. Here we get one of the movie's strongest scenes as she's re-introduced to her roommate Catherine (the late Cathérine Greiner a/k/a hardcore performer ""Cathy Stewart"" in a quietly devastating turn), both girls desperately supplying fictitious shared ""memories"" for one another in a bid to outrun their inevitable fate. That deterioration is not solely limited to the mind becomes painfully clear when they are served lunch and Catherine's unable to control her movements in trying to eat a spoonful of soup. It's also Catherine who gets to voice the filmmaker's compromise with the demands of commerce as she urges Elisabeth to get naked and hold her because sex is all they have left now that both mind and physical faculties have deserted them.<br /><br />Several rather explicit - if not quite hardcore - sex scenes make up the movie's mid-section and French porn aficionados should recognize the likes of Alain Plumey (a/k/a ""Cyril Val""), Jacques Gateau and Elodie Delage, along with a blink and miss bit from future porno princess Marilyn Jess whose rape at the hands, mouth and member of Plumey was only present in the film's rarely screened XXX version FILLES TRAQUEES. The pivotal part of Véronique, a girl Elisabeth almost seems to remember and whom she seeks to escape anew with, is beautifully handled by the exquisite Dominique Journet - in her unforgettable debut - who would go on to play a sizable supporting role in Franco Zeffirelli's LA TRAVIATA. The six feet under ending reveals the deteriorating condition to be the result of a nuclear spill, the quarantined ""patients"" ultimately leaving a barely breathing empty shell, unceremoniously disposed off in a fiery furnace. The final shot offers a particularly heartbreaking variation on that of Chaplin's MODERN TIMES as Elisabeth, approaching complete meltdown by now, and a wounded Robert stumble along the railroad bridge, clumsily clasping each other's outstretched hands.",Non-Biology
"POSSIBLE SPOILERS --<br /><br />I love Dennis Quaid and I like Meg Ryan. I was looking forward to seeing them together, being married and all, I wanted to see their on-screen chemistry. Okay, that being said, I guess the fact that they are actors, their off-screen relationship didn't have to permeate their performances, especially with this script.<br /><br />How stupid can a professor be to glue himself to anyone. I don't remember the original, but I can only assume that O'Brien probably was handcuffed to his leading lady, probably in a more inevitable way. If I were ""bonded"" to someone I'd be pretty angry. The crush I would have would definitely have dissipated quickly. Meg showed not even a little annoyance only slight surprise. Dennis would have to take me kicking and screaming. That whole section of the movie was so horrible -- especially Meg having to go to the bathroom (#2) between dumpsters in the dark at night. Ewww. No f****ing way! <br /><br />What's with Dennis socking every single suspect in the movie. Sock first ask questions later. Not once, not twice but too many times -- I could have kept count if I were so inclined. <br /><br />The most interesting part of the movie was Nick and his family drama. Too bad that couldn't have become more of the plot. The assumed off-screen drama leading up to this tragedy. I think it could have been written in without distracting from Dex' quest. <br /><br />My blame lies with the writer of this screenplay. Unless the director and others doctored it up so much that it's unrecognizable.<br /><br />I won't even get into the real reason poor Dex was murdered. How ludicrous is that. Even when Dex confronted the real killer and the reason was explained, (a true ""film noir"" moment) everyone on screen seemed bored. Oh, _____ happened. Oh. (yawn) ""Dex even says this is a silly reason for a triple murder. Oh the tension, you could cut it with a spoon.<br /><br />If anyone but Dennis had been in this movie, I'd have to give it 1/2 star (only because I really have seen worse), but in this case 1 1/2 stars.<br /><br />For Dennis and Meg stars, see ANYTHING ELSE.",Non-Biology
"The effects of a goat anti-guinea-pig beta 2-microglobulin antiserum (a beta 2m) on lymphocyte transformation, induced by specific antigens or mitogens, were studied. a beta 2m was found to exert inhibitory effects on antigen stimulation, with three different antigens (purified protein devivative, hen egg-white lysozyme, and ovalbumin), and on stimulation induced by the 'T-cell mitogens', concanavalin A and phytohaemagglutinin, and the 'mixed mitogen', pokeweed mitogen. Stimulation induced by the 'B-cell mitogens', dextran sulphate and bacterial lipopolysaccharide, did not seem to be inhibited to the same extent by a beta 2m. The inhibitory effects seemed specific, as they were not seen with a beta 2m that had been absorbed on a column with insolubilized purified guinea-pig beta 2m nor with normal goat serum. Time studies indicated that the inhibitions started already during the first day of culture.",Biology
OBJECTIVE: The objective was to assess the extent of concordance between self-reported contraceptive use and the presence of contraceptive progestins in serum.STUDY DESIGN: We evaluated self-reported contraceptive use by using radioimmunoassay to examine baseline serum levels of medroxyprogesterone acetate (MPA) and levonorgestrel (LNG) among 97 Malawian women enrolling in a contraceptive trial.RESULTS: Twelve percent (12/97) of study participants who reported no hormonal contraceptive use in the previous 6months had either MPA or LNG detected in their serum.CONCLUSIONS: The observed discordance between self-report and detection of exogenous hormones in serum indicates that caution is warranted when drawing conclusions based on self-reported contraceptive use.,Biology
"OBJECTIVES: Our goal was to demonstrate that microparticles (MPs) are the endogenous signal leading to neovessel formation through CD40 ligation in human atherosclerotic plaques.BACKGROUND: Vulnerable atherosclerotic plaques prone to rupture are characterized by an increased number of vasa vasorum and frequent intraplaque hemorrhage. Although inflammatory cytokines, growth factors, or CD40/CD40 ligand (CD40L) are possible candidates, the mechanism of atherosclerotic plaque neovascularization remains unknown. Atherosclerotic plaques contain large amounts of membrane-shed submicron MPs released after cell activation or apoptosis.METHODS: Microparticles were isolated from endarterectomy specimens surgically obtained from 26 patients and characterized by phosphatidylserine exposure and specific markers of cellular origin.RESULTS: Plaque MPs increased both endothelial proliferation assessed by (3)H-thymidine incorporation and cell number and stimulated in vivo angiogenesis in Matrigel (BD Biosciences, San Diego, California) assays performed in wild-type and BalbC/Nude mice, whereas circulating MPs had no effect. Microparticles from symptomatic patients expressed more CD40L and were more potent in inducing endothelial proliferation, when compared with asymptomatic plaque MPs. Most of CD40L+ MPs (93%) isolated from human plaques were of macrophage origin. Microparticle-induced endothelial proliferation was impaired by CD40L or CD40-neutralizing antibodies and abolished after endothelial CD40-ribonucleic acid silencing. In addition, the proangiogenic effect of plaque MPs was abolished in Matrigel assays performed in the presence of CD40L-neutralizing antibodies or in CD40-deficient mice.CONCLUSIONS: These results demonstrate that MPs isolated from human atherosclerotic lesions express CD40L, stimulate endothelial cell proliferation after CD40 ligation, and promote in vivo angiogenesis. Therefore, MPs could represent a major determinant of intraplaque neovascularization and plaque vulnerability.",Biology
"PURPOSE: To determine the effect of continuous passive motion (CPM) on rotator cuff repair (RCR).METHODS: A prospective, randomized, blinded, controlled study was performed on all patients undergoing primary RCR between December 1992 and January 1994. A preoperative ""shoulder score"" was calculated for each patient based on four scales: function (50%), pain (20%), muscle strength (15%), and range-of-motion (ROM) (15%). A standard questionnaire and single blinded physical therapist were employed. At the time of operation, patients were randomized into the control group (postoperative physical therapy [PT]) or the study group (PT plus CPM). Postoperative shoulder scores were then calculated by repeat questionnaires and physical examinations at 3-month follow-up.RESULTS: Twenty-six patients (12 control, 14 study; 24/26 tears were full thickness) underwent RCR and completed 3-month follow-up. Both groups had similar age and sex distributions; the study group had larger tears than the control group. All patients underwent RCR and subacromial decompression. No statistically significant difference in shoulder score increases was seen between the two groups at follow-up. A statistically significant (P = 0.0138) increase in ROM subscore was seen in the study group. Other subscores showing improvement with CPM included pain relief in female patients (P = 0.0185), and pain relief in patients > or = 60 years of age (P = 0.0364).CONCLUSIONS: CPM has no effect on overall shoulder score at 3-month follow-up. CPM has a beneficial effect on ROM for all patients, as well as on pain relief in female patients and patients > or = 60 years of age.",Biology
"Gastric leiomyoma is a relatively rare gastric neoplasm. Before the routine use of laparoscopy, various methods of treatment for gastric leiomyoma included open celiotomy with gastric wedge resection, partial gastrectomy, enucleation, and extended gastrectomy with en bloc resection of adjacent organs. Below, we describe a case of laparoscopic wedge resection and review the various laparoscopic techniques for the treatment of gastric leiomyoma.",Biology
"Cells in the hyperosmotic kidney medulla, express a transcriptional activator termed tonicity responsive enhancer binding protein (TonEBP). Genes targeted by TonEBP protect kidney cells from the deleterious effects of hyperosmolality by inducing the expression of organic osmolytes and molecular chaperones, and other genes that mediate urine concentration such as aquaporin-2 and urea transporters. We tested here the effect of hypertonicity and hyperosmotic salt in the renal medullary interstitium on the expression TonEBP. When massive water diuresis was induced in rats the medullary sodium concentrations did not change, neither did TonEBP expression. In these animals the medullary tonicity was unchanged despite the production of dilute urine. On the other hand, treatment with the loop diurectic furosemide resulted in a dose-dependent decrease in the medullary sodium concentration causing a reduction in interstitial tonicity. Here, TonEBP expression was blunted in the outer and inner medulla which was due, in part, to decreased mRNA abundance. As expected, the expression of TonEBP target genes in the renal medulla also decreased in response to furosemide. Hence TonEBP expression in the renal medulla is stimulated by interstitial hypertonicity.",Biology
"Chi3l1 is induced by a variety of cancers where it portends a poor prognosis and plays a key role in the generation of metastasis. However, the mechanisms that Chi3l1 uses to mediate these responses and the pathways that control Chi3l1-induced tumor responses are poorly understood. We characterized the mechanisms that Chi3l1 uses to foster tumor progression and the ability of the RIG-like helicase (RLH) innate immune response to control Chi3l1 elaboration and pulmonary metastasis. Here we demonstrate that RLH activation inhibits tumor induction of Chi3l1 and the expression of receptor IL-13Rá2 and pulmonary metastasis while restoring NK cell accumulation and activation, augmenting the expression of IFN-á/â, chemerin and its receptor ChemR23, p-cofilin, LIMK2 and PTEN and inhibiting BRAF and NLRX1 in a MAVS-dependent manner. These studies demonstrate that Chi3l1 is a multifaceted immune stimulator of tumor progression and metastasis whose elaboration and tissue effects are abrogated by RLH innate immune responses.",Biology
"Some aspects of reproductive function in the GnRH-deficient hypogonadal (hpg) mutant mouse can be restored by transplanting normal fetal brain tissue containing GnRH cells into the central nervous system of adult hpg mice. However, hpg males showing physiological response to the graft fail to display sexual behavior and are infertile. We hypothesized that the reproductive deficit of these males is due to insufficient perinatal exposure to testicular androgens as a consequence of the GnRH deficiency. To test this hypothesis we androgenized hpg males by giving them neonatal injections of testosterone propionate (TP). Controls consisted of hpg males not androgenized neonatally and of normal males. All three groups received a TP implant in adulthood, and their copulatory behavior and reproductive capability were recorded. In addition, other hpg males, not androgenized neonatally, received fetal brain transplants containing GnRH neurons and were also tested for copulatory behavior and reproductive capability before and after receiving a TP implant. Three of 8 neonatally androgenized hpg males expressed the full repertoire of male sexual behavior, including intromission and ejaculation, and sired several litters. Three of 7 control hpg males that were not androgenized neonatally but received TP implants in adulthood also displayed mounting and intromission, but there was no evidence of ejaculation, and these males failed to impregnate normal females. Of the 8 hpg males that responded to a fetal transplant with testicular growth, only 1 displayed mounting behavior. However, when given a TP implant, 4 of 8 hpg males with grafts displayed mounting and intromissions.(ABSTRACT TRUNCATED AT 250 WORDS)",Biology
"OBJECTIVES: To determine the prevalence and impact of urinary incontinence (UI) in men with cystic fibrosis (CF).DESIGN: Prospective observational study.SETTING: Adult CF clinics at tertiary referral centres.PARTICIPANTS: Men with CF (n=80) and age-matched men without lung disease (n=80).INTERVENTIONS: Validated questionnaires to identify the prevalence and impact of UI.MAIN OUTCOME MEASURES: Prevalence of UI and relationship to disease specific factors, relationship of UI with anxiety and depression.RESULTS: The prevalence of UI was higher in men with CF (15%) compared to controls (10%) (p=0.339). Men with CF and UI had higher scores for anxiety than those without UI (mean 9.1 (SD 4.8) vs 4.7 (4.1), p=0.003), with similar findings for depression (6.8 (4.6) vs 2.8 (3.4), p=0.002) using the Hospital Anxiety and Depression Scale.CONCLUSIONS: Incontinence is more prevalent in adult men with CF than age matched controls, and may have an adverse effect on mental health. The mechanisms involved are still unclear and may differ from those reported in women.",Biology
"To investigate sex differences in the professional achievements and personal life-styles of graduates, a questionnaire survey was conducted. The sample comprised surviving female medical graduates of the University of Melbourne and an equal number of male medical graduates who were matched by year of graduation. The final response rate was 70% (1764 subjects returned questionnaires) and was representative for both age and sex. This article describes the practice patterns and family lives of graduates. Considerable sex-related differences were found in the professional achievements and personal life-styles of the surveyed medical graduates. Women's professional careers tended to be more circumscribed than were those of male colleagues. Women were less involved in areas outside clinical practice such as teaching or lecturing, committees, medical administration, and research and its publication. Female doctors earned significantly (P less than 0.0001) less than did male doctors and were more likely to work as employees, locums or in sessional employment (P less than 0.0001). Women were more involved in all aspects of household activities, especially during midlife (40-60 years of age)--the peak career years for male doctors. The career underachievement of female doctors is likely to continue unless considerable changes are made to current postgraduate training schemes and career structures.",Biology
"Adoption of the ventrogluteal site for intramuscular injections has been limited in mental health settings despite its decreased risk of sciatic nerve injury and its promotion as best practice among student nurses. At a center for addiction and mental health in Toronto, Canada, registered practical nurses followed a competency checklist in a simulation setting and then observed and administered supervised ventrogluteal injections in clinical settings. This article describes the comprehensive educational program and its outcomes in practice.",Biology
"And yet another run of South Park comes to an end. This wasn't as strong an episode as I'd hoped for, but Night of the Living Homeless was a stronger finisher then Stanley's Cup, Tsst, Bloody Mary, or Erection Day. It still can't hold a candle to Woodland Critter Christmas and Goobacks, but few episodes can.<br /><br />Night of the Living Homeless is a spoof of the zombie genre, done in a way only South Park would think of. Instead of flesh eating zombies, the entities are homeless that request change and seem to survive off of it.<br /><br />Randy and other residents are locked in the Community Center, though this time on the roof, where they can survey the scene. A particularly funny moment is when one member finds out his home is gone, and becomes homeless, leaving Randy no choice but to shoot him.<br /><br />Meanwhile, the four boys set out to solve the problem, with the whole story behind the homeless takeover trying to convey a message, but being seriously uninspired. South Park is at it's best a lot of the times when it is being ridiculous. Matt and Trey played it safe this week, and didn't really critique the homeless problem, just lampooned it.<br /><br />The shock moment of the episode comes when a scientist shoots himself in an attempt to avoid the homeless. This is the first time a suicide on South Park goes wrong, and we watch the poor man miss his brain and then attempt to shoot himself many times while he painfully dies. Another inspired South Park moment.<br /><br />Overall, the episode was funny, but it was kept from being great by withholding any real commentary on the homeless and sticking straight with the zombie shtick. The ending is somewhat funny, but nothing new.<br /><br />Now we must wait until October for the next batch of episodes. It's a long haul, but South Park must be applauded for it's run. The show seemed to be running out of steam last season, but now it's back in full form.",Non-Biology
"There is considerable confusion in the field of research on the history of psychiatry as to who created the term anancasm. This article seeks to clarify that the term was coined by the Hungarian psychiatrist Gyula Don?th, who was born in Baja, on the Danube, and worked mainly in Budapest. Don?th's publications reveal that his predominant sphere of interest and research was neurology and psychiatry. A number of his publications deal with epilepsy and obsessive-compulsive disorders. After a period of intensive research, during which he spent some time in Berlin at the clinic of neuroscientist Carl Westphal, Don?th proposed the term 'anancasm' in 1895 to describe compulsive mental processes.",Biology
"Has to be one of the worst wastes of 35mm movie film ever unleashed on the public, the sequel to the at least entertaining pseudo-documentary original film ""The Legend of Boggy Creek"". Bad script, worse acting, etc., etc., Dawn Wells had to be hoping that Gilligan would come rescue her and take her back to the island just to escape from this piece of clap-trap.",Non-Biology
"Considering the subject matter, I thought that this film would at least be enjoyable, if stopping somewhat short of a masterpiece. I was wrong. I was still waiting for something to happen and it finished - I thought that the finale was the bit that happened before it got exciting. The only reason I gave it 2 instead of 1 is because the effects guys deserve some recognition.",Non-Biology
"Intraluminal pressure in the ascending colon of 13 patients with right sided diverticular disease and 10 of normal subjects was studied with catheter-tip transducer inserted through colonoscopes. In the resting state the colonic motility index of patients with diverticular disease was greater than that of the controls. After intravenous injection of neostigmine methylsulphate higher pressure waves were more frequently observed in patients with diverticular disease than the controls, and the colonic motility index of patients was much greater than that of the controls with statistical significance. From these observations it is suggested that high intraluminal pressure and the abnormal motility in the ascending colon plays an important role in the pathogenesis of right sided diverticular disease.",Biology
"We administered the National Institute of Mental Health Diagnostic Interview Schedule to 41 patients with a lifetime history of anorexia nervosa (25 with and 16 without bulimia) and to 49 patients with bulimia alone. Results showed that 77% of the patients with eating disorders had a lifetime diagnosis of DSM-III major affective disorder, a rate significantly higher than that found in comparison groups composed of the first-degree relatives of probands with schizophrenia and bipolar disorder. High lifetime rates of anxiety disorders, substance use disorders, and kleptomania were also observed. By contrast, few cases of personality disorders and no cases of schizophrenia were found. These findings combine with the results of studies of family history, long-term outcome, response to biological tests, and treatment response to suggest that anorexia nervosa and bulimia may be closely related to major affective disorder.",Biology
"Within a study of standard values, investigations of the static and dynamic lung compliance were performed in 162 test persons in a good state of health of heart and lungs. Age, size, constitution, and intrathoracical gas volume are necessary parameters for calculation of an individual standard value of the dynamic compliance, whereas age and intrathoracical gas volume only are needed for calculation of a standard value of the static compliance. The new standard values are compared with the values known from the literature.",Biology
"I've read some terrible things about this film, so I was prepared for the worst. ""Confusing. Muddled. Horribly structured."" While there may be merit to some of these accusations, this film was nowhere near as horrific as your average DVD programmer. In fact, it actually had aspirations. It attempted something beyond the typical monster/slasher nonsense. And by god, there are some interesting things going on.<br /><br />Ms. Barbeau is a miracle to behold. She carries the film squarely on her shoulders.<br /><br />This is not to say that it's a masterpiece. UNHOLY ultimately collapses under the weight of its own ambition. There are just too many (unexplained) subplots trying to coexist. And the plot loopholes created by time travel are never really addressed: for example, if Hope knows that her mother is evil and that she will ultimately kill her brother, then why doesn't she just kill Ma in the film's very first sequence? Seems like it would have beat the hell out of traveling into the future to do it.<br /><br />Still, I give UNHOLY points for trying. A little ambition is not a bad thing.",Non-Biology
Idiopathic dilatation of the right atrium is a rare cardiac anomaly. The surgical management of this rare cardiac anomaly is reviewed.,Biology
"PURPOSE: To evaluate the feasibility of automated quantitative analysis with a three-dimensional (3D) computer-aided system (i.e., Gaussian histogram normalized correlation, GHNC) of computed tomography (CT) images from different scanners.MATERIALS AND METHODS: Each institution's review board approved the research protocol. Informed patient consent was not required. The participants in this multicenter prospective study were 80 patients (65 men, 15 women) with idiopathic pulmonary fibrosis. Their mean age was 70.6 years. Computed tomography (CT) images were obtained by four different scanners set at different exposures. We measured the extent of fibrosis using GHNC, and used Pearson's correlation analysis, Bland-Altman plots, and kappa analysis to directly compare the GHNC results with manual scoring by radiologists. Multiple linear regression analysis was performed to determine the association between the CT data and forced vital capacity (FVC).RESULTS: For each scanner, the extent of fibrosis as determined by GHNC was significantly correlated with the radiologists' score. In multivariate analysis, the extent of fibrosis as determined by GHNC was significantly correlated with FVC (p < 0.001). There was no significant difference between the results obtained using different CT scanners.CONCLUSION: Gaussian histogram normalized correlation was feasible, irrespective of the type of CT scanner used.",Biology
